2023-05-11 21:52:13,098 INFO       client Клиент стартовал ('localhost', 7777) 
2023-05-11 21:52:13,099 INFO       client Сформированно сообщение о присутствии серверу: {'action': 'presence', 'time': 1683831133.0997715, 'nick_name': 'Val'} 
2023-05-11 21:52:13,104 DEBUG      log_decorator Функция create_presence_massage вызванна с аргументами (('Val',), {})из функции send_presence_massage 
2023-05-11 21:52:13,105 INFO       client Сообщение о присутствии отправленно серверу 
2023-05-11 21:52:13,105 DEBUG      log_decorator Функция send_presence_massage вызванна с аргументами ((<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 48752), raddr=('127.0.0.1', 7777)>, 'Val'), {})из функции main 
2023-05-11 21:52:30,122 INFO       client Сформированно сообщение серверу: {'action': 'massage', 'time': 1683831150.122223, 'sender': 'Ars', 'reciever': 'Val', 'user_massage': 'hello'} 
2023-05-11 21:52:30,123 DEBUG      log_decorator Функция create_massage вызванна с аргументами (('Ars',), {})из функции send_massage 
2023-05-11 21:52:30,124 INFO       client Сообщение отправленно серверу 
2023-05-11 21:52:30,124 DEBUG      log_decorator Функция send_massage вызванна с аргументами ((<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 48748), raddr=('127.0.0.1', 7777)>, 'Ars'), {})из функции console 
2023-05-11 21:55:11,449 INFO       client Клиент стартовал ('localhost', 7777) 
2023-05-11 21:55:11,450 INFO       client Сформированно сообщение о присутствии серверу: {'action': 'presence', 'time': 1683831311.4500842, 'nick_name': 'Ars'} 
2023-05-11 21:55:11,455 DEBUG      log_decorator Функция create_presence_massage вызванна с аргументами (('Ars',), {})из функции send_presence_massage 
2023-05-11 21:55:11,455 INFO       client Сообщение о присутствии отправленно серверу 
2023-05-11 21:55:11,456 DEBUG      log_decorator Функция send_presence_massage вызванна с аргументами ((<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 55482), raddr=('127.0.0.1', 7777)>, 'Ars'), {})из функции main 
2023-05-11 21:55:30,216 INFO       client Клиент стартовал ('localhost', 7777) 
2023-05-11 21:55:30,217 INFO       client Сформированно сообщение о присутствии серверу: {'action': 'presence', 'time': 1683831330.217253, 'nick_name': 'Val'} 
2023-05-11 21:55:30,222 DEBUG      log_decorator Функция create_presence_massage вызванна с аргументами (('Val',), {})из функции send_presence_massage 
2023-05-11 21:55:30,222 INFO       client Сообщение о присутствии отправленно серверу 
2023-05-11 21:55:30,223 DEBUG      log_decorator Функция send_presence_massage вызванна с аргументами ((<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53076), raddr=('127.0.0.1', 7777)>, 'Val'), {})из функции main 
2023-05-11 21:55:43,959 INFO       client Сформированно сообщение серверу: {'action': 'massage', 'time': 1683831343.9598794, 'sender': 'Ars', 'reciever': 'Val', 'user_massage': 'hello'} 
2023-05-11 21:55:43,961 DEBUG      log_decorator Функция create_massage вызванна с аргументами (('Ars',), {})из функции send_massage 
2023-05-11 21:55:43,961 INFO       client Сообщение отправленно серверу 
2023-05-11 21:55:43,961 DEBUG      log_decorator Функция send_massage вызванна с аргументами ((<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 55482), raddr=('127.0.0.1', 7777)>, 'Ars'), {})из функции console 
2023-05-11 21:56:19,846 INFO       client Сформированно сообщение серверу: {'action': 'massage', 'time': 1683831379.8461857, 'sender': 'Val', 'reciever': 'Ars', 'user_massage': 'fuck you'} 
2023-05-11 21:56:19,847 DEBUG      log_decorator Функция create_massage вызванна с аргументами (('Val',), {})из функции send_massage 
2023-05-11 21:56:19,847 INFO       client Сообщение отправленно серверу 
2023-05-11 21:56:19,848 DEBUG      log_decorator Функция send_massage вызванна с аргументами ((<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53076), raddr=('127.0.0.1', 7777)>, 'Val'), {})из функции console 
2023-05-11 21:57:56,675 INFO       client Клиент стартовал ('localhost', 7777) 
2023-05-11 21:57:56,676 INFO       client Сформированно сообщение о присутствии серверу: {'action': 'presence', 'time': 1683831476.676117, 'nick_name': 'Ars'} 
2023-05-11 21:57:56,681 DEBUG      log_decorator Функция create_presence_massage вызванна с аргументами (('Ars',), {})из функции send_presence_massage 
2023-05-11 21:57:56,681 INFO       client Сообщение о присутствии отправленно серверу 
2023-05-11 21:57:56,681 DEBUG      log_decorator Функция send_presence_massage вызванна с аргументами ((<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 57398), raddr=('127.0.0.1', 7777)>, 'Ars'), {})из функции main 
2023-05-11 21:58:02,674 INFO       client Клиент стартовал ('localhost', 7777) 
2023-05-11 21:58:02,675 INFO       client Сформированно сообщение о присутствии серверу: {'action': 'presence', 'time': 1683831482.6758237, 'nick_name': 'Val'} 
2023-05-11 21:58:02,680 DEBUG      log_decorator Функция create_presence_massage вызванна с аргументами (('Val',), {})из функции send_presence_massage 
2023-05-11 21:58:02,681 INFO       client Сообщение о присутствии отправленно серверу 
2023-05-11 21:58:02,681 DEBUG      log_decorator Функция send_presence_massage вызванна с аргументами ((<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 57400), raddr=('127.0.0.1', 7777)>, 'Val'), {})из функции main 
